iter	Passed	Remaining
0	7	3017
1	12	2585
2	18	2418
3	23	2291
4	28	2269
5	33	2219
6	39	2192
7	43	2154
8	48	2121
9	53	2076
10	57	2025
11	62	2035
12	67	2010
13	71	1984
14	76	1972
15	80	1938
16	84	1909
17	88	1877
18	93	1866
19	97	1845
20	101	1829
21	105	1811
22	110	1803
23	114	1793
24	118	1777
25	122	1767
26	127	1757
27	131	1743
28	135	1733
29	139	1724
30	143	1710
31	147	1696
32	152	1690
33	156	1680
34	160	1668
35	163	1656
36	168	1648
37	172	1642
38	176	1631
39	180	1621
40	184	1614
41	189	1611
42	192	1602
43	196	1593
44	201	1587
45	205	1582
46	209	1576
47	213	1567
48	217	1561
49	222	1557
50	226	1550
51	230	1544
52	234	1536
53	239	1531
54	243	1525
55	247	1519
56	251	1514
57	256	1511
58	260	1505
59	264	1500
60	269	1497
61	274	1494
62	278	1487
63	282	1484
64	288	1485
65	292	1480
66	297	1476
67	301	1473
68	306	1472
69	311	1467
70	315	1460
71	319	1455
72	323	1448
73	327	1443
74	332	1439
75	336	1433
76	340	1426
77	344	1420
78	348	1416
79	352	1411
80	357	1406
81	361	1402
82	366	1399
83	370	1394
84	375	1391
85	380	1388
86	384	1384
87	388	1378
88	393	1374
89	397	1369
90	402	1365
91	406	1359
92	410	1355
93	415	1351
94	419	1345
95	423	1340
96	428	1337
97	432	1331
98	436	1326
99	440	1321
100	445	1318
101	449	1313
102	454	1309
103	459	1309
104	464	1305
105	470	1303
106	475	1302
107	479	1297
108	484	1293
109	489	1289
110	493	1285
111	498	1281
112	503	1278
113	507	1274
114	512	1269
115	516	1264
116	521	1260
117	525	1256
118	530	1251
119	534	1248
120	539	1244
121	544	1240
122	549	1237
123	554	1235
124	559	1231
125	563	1226
126	568	1223
127	574	1220
128	579	1217
129	584	1213
130	589	1209
131	593	1204
132	597	1199
133	602	1196
134	606	1190
135	611	1186
136	615	1181
137	620	1177
138	625	1174
139	629	1169
140	634	1165
141	639	1161
142	643	1156
143	648	1153
144	653	1148
145	657	1143
146	661	1139
147	667	1136
148	671	1131
149	676	1127
150	682	1124
151	686	1120
152	691	1116
153	696	1112
154	701	1108
155	705	1103
156	710	1099
157	715	1095
158	719	1090
159	724	1086
160	728	1081
161	732	1076
162	737	1072
163	742	1068
164	747	1064
165	751	1059
166	756	1055
167	762	1052
168	767	1048
169	772	1044
170	776	1040
171	781	1035
172	786	1032
173	791	1027
174	796	1024
175	801	1019
176	805	1015
177	810	1011
178	814	1006
179	818	1000
180	823	995
181	827	991
182	832	986
183	836	981
184	840	976
185	844	972
186	849	967
187	853	962
188	858	958
189	863	954
190	867	949
191	872	944
192	876	940
193	881	936
194	886	932
195	890	927
196	895	922
197	899	917
198	903	912
199	908	908
200	913	904
201	917	899
202	922	895
203	926	890
204	930	885
205	935	880
206	939	876
207	943	871
208	947	866
209	952	861
210	957	857
211	961	852
212	966	848
213	971	844
214	975	839
215	979	834
216	984	829
217	988	825
218	992	820
219	997	815
220	1001	811
221	1005	806
222	1010	801
223	1014	796
224	1018	792
225	1023	787
226	1028	783
227	1033	779
228	1038	775
229	1042	770
230	1046	765
231	1051	761
232	1055	756
233	1059	751
234	1063	746
235	1067	742
236	1071	737
237	1075	732
238	1079	727
239	1084	723
240	1088	717
241	1092	713
242	1096	708
243	1101	703
244	1104	698
245	1108	693
246	1112	689
247	1116	684
248	1120	679
249	1124	674
250	1129	670
251	1133	665
252	1137	660
253	1142	656
254	1146	651
255	1150	647
256	1154	642
257	1158	637
258	1162	633
259	1166	628
260	1170	623
261	1175	619
262	1180	614
263	1184	610
264	1188	605
265	1194	601
266	1198	596
267	1202	592
268	1206	587
269	1210	583
270	1215	578
271	1219	573
272	1223	569
273	1227	564
274	1231	559
275	1235	555
276	1240	550
277	1244	546
278	1249	541
279	1253	537
280	1258	532
281	1263	528
282	1270	525
283	1275	520
284	1280	516
285	1285	512
286	1290	507
287	1294	503
288	1299	498
289	1303	494
290	1308	490
291	1312	485
292	1316	480
293	1321	476
294	1326	472
295	1330	467
296	1335	463
297	1340	458
298	1344	454
299	1348	449
300	1353	445
301	1357	440
302	1361	435
303	1366	431
304	1370	427
305	1375	422
306	1379	417
307	1384	413
308	1388	408
309	1392	404
310	1397	399
311	1401	395
312	1405	390
313	1409	386
314	1414	381
315	1418	377
316	1422	372
317	1427	368
318	1432	363
319	1436	359
320	1440	354
321	1445	350
322	1450	345
323	1454	341
324	1459	336
325	1464	332
326	1468	327
327	1472	323
328	1477	318
329	1481	314
330	1485	309
331	1489	305
332	1493	300
333	1498	296
334	1502	291
335	1506	287
336	1511	282
337	1515	277
338	1519	273
339	1523	268
340	1527	264
341	1532	259
342	1537	255
343	1540	250
344	1544	246
345	1549	241
346	1553	237
347	1557	232
348	1561	228
349	1565	223
350	1568	219
351	1573	214
352	1577	210
353	1581	205
354	1585	200
355	1589	196
356	1593	191
357	1597	187
358	1601	182
359	1605	178
360	1609	173
361	1613	169
362	1617	164
363	1622	160
364	1626	155
365	1630	151
366	1634	146
367	1638	142
368	1642	138
369	1646	133
370	1666	130
371	1672	125
372	1676	121
373	1679	116
374	1684	112
375	1688	107
376	1692	103
377	1697	98
378	1701	94
379	1705	89
380	1709	85
381	1713	80
382	1718	76
383	1722	71
384	1726	67
385	1730	62
386	1734	58
387	1738	53
388	1742	49
389	1747	44
390	1751	40
391	1755	35
392	1759	31
393	1763	26
394	1767	22
395	1772	17
396	1775	13
397	1779	8
398	1784	4
399	1788	0
